owner,type,violations,complaints,buildings,viol_per_bldg,top_category,top_district,dv1,dv2,dv3,dv4,dv5,dv6,dv7,dv8,dv9,dt1,dt2,dt3,dt4,dt5,dt6,dt7,dt8,dt9
551 DAISY APTS LLC,LLC,15,29,1,15.0,No type recorded,1,15,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0
MASUDA INVESTMENTS LLC,LLC,15,24,3,5.0,No type recorded,1,13,2,0,0,0,0,0,0,0,33,6,0,0,0,0,0,0,0
"JACOBSEN,DONALD I CO TR  D AND E",Corporation,15,42,1,15.0,No type recorded,2,0,15,0,0,0,0,0,0,0,0,57,0,0,0,0,0,0,0
FARMERS AND MERCHANTS TR CO TR,Corporation,15,70,6,2.5,No type recorded,2,0,12,3,0,0,0,0,0,0,0,67,18,0,0,0,0,0,0
RED CURB INVESTMENTS LLC,LLC,15,66,4,3.8,No type recorded,2,0,9,0,0,6,0,0,0,0,0,45,0,0,36,0,0,0,0
1506 E FIFTH STREET LLC,LLC,15,14,1,15.0,No type recorded,2,0,15,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0
BEAVER INVESTMENTS LLC,LLC,15,91,12,1.2,No type recorded,3,0,4,11,0,0,0,0,0,0,0,7,98,1,0,0,0,0,0
ALTPIM LLC,LLC,15,22,4,3.8,No type recorded,6,0,4,0,0,0,5,0,5,1,0,10,0,0,0,9,0,15,3
CHATEAU BELMONT SHORES PARTNERS,Limited Partnership,15,29,3,5.0,No type recorded,3,0,0,15,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0
532 E RHEA LLC AND,LLC,15,13,2,7.5,No type recorded,6,0,0,0,0,0,15,0,0,0,0,0,0,0,0,28,0,0,0
BENGAL HOUSING INVESTMENTS LLC,LLC,15,35,4,3.8,Other,6,0,0,0,0,0,14,0,1,0,0,0,0,0,0,47,0,3,0
CENTURY ACKERFIELD LLC,LLC,15,33,1,15.0,No type recorded,8,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,48,0
ELM TERRACE HOLDINGS LLC,LLC,14,35,3,4.7,No type recorded,1,8,0,0,0,0,6,0,0,0,16,0,0,0,0,33,0,0,0
530 CHESTNUT AVENUE LLC,LLC,14,11,1,14.0,No type recorded,1,14,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0
NEW CENTURY PROPERTY 18 LLC,LLC,14,9,1,14.0,No type recorded,1,14,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0
CABE BROTHERS RENTALS LLC,LLC,14,65,7,2.0,Other,6,2,0,0,0,0,12,0,0,0,10,0,0,0,0,67,2,0,0
"PATEL,KAVITA CO TR CONNOR PATEL",Corporation,14,18,1,14.0,No type recorded,1,14,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0
