lat,lon,year,cat,og,d,v,n
33.78,-118.195,2015,Property Maintenance,I,1,1,1
33.777,-118.193,2015,Animals,E,1,1,1
33.776,-118.175,2015,Graffiti,E,1,0,1
33.786,-118.198,2015,Vehicles,E,1,1,1
33.779,-118.184,2015,Vehicles,I,1,1,1
33.775,-118.178,2015,No type recorded,I,1,0,1
33.775,-118.196,2015,Vehicles,I,1,0,1
33.774,-118.199,2015,No type recorded,E,1,1,1
33.77,-118.186,2015,No type recorded,E,1,0,2
33.776,-118.188,2015,Other,I,1,0,1
33.778,-118.196,2015,Vehicles,I,1,0,1
33.778,-118.176,2015,Property Maintenance,E,1,1,1
33.772,-118.201,2015,Health/Pests,I,1,0,1
33.786,-118.195,2015,Graffiti,E,1,0,1
33.772,-118.196,2008,No type recorded,I,1,1,1
33.772,-118.193,2015,Property Maintenance,E,1,0,1
33.779,-118.195,2015,Property Maintenance,I,1,0,3
33.779,-118.189,2015,Signage,E,1,0,1
33.778,-118.195,2015,Health/Pests,E,1,0,1
33.769,-118.184,2015,Health/Pests,E,1,0,1
33.783,-118.197,2015,Health/Pests,I,1,0,1
33.774,-118.193,2015,Graffiti,E,1,0,2
33.772,-118.185,2015,Graffiti,E,1,0,2
33.774,-118.183,2015,Inspection,I,1,0,2
33.772,-118.196,2015,No type recorded,E,1,0,3
33.777,-118.196,2015,No type recorded,E,1,0,1
33.774,-118.18,2015,Inspection,I,1,0,1
33.773,-118.201,2015,Health/Pests,E,1,1,1
33.779,-118.197,2015,Property Maintenance,I,1,0,1
33.774,-118.183,2015,Inspection,E,1,0,2
33.774,-118.184,2015,Inspection,E,1,0,1
33.773,-118.183,2015,Vehicles,I,1,0,1
33.774,-118.194,2015,Inspection,E,1,0,1
33.771,-118.197,2015,No type recorded,I,1,0,1
33.774,-118.181,2015,Inspection,E,1,0,1
33.774,-118.196,2015,Inspection,E,1,1,1
33.774,-118.198,2015,Inspection,I,1,0,1
33.778,-118.171,2015,Graffiti,I,1,0,1
33.78,-118.194,2015,No type recorded,I,1,0,2
33.779,-118.19,2015,Other,I,1,0,1
33.776,-118.18,2015,No type recorded,I,1,0,1
33.79,-118.178,2015,No type recorded,I,1,0,1
33.777,-118.196,2015,Graffiti,I,1,0,1
33.786,-118.194,2015,Graffiti,I,1,1,1
33.777,-118.172,2015,Property Maintenance,I,1,1,2
33.776,-118.199,2015,No type recorded,I,1,0,1
33.787,-118.196,2015,Property Maintenance,E,1,0,1
33.776,-118.171,2015,Unpermitted Construction,E,1,0,1
33.789,-118.199,2015,Other,E,1,1,1
33.772,-118.184,2015,No type recorded,E,1,0,1
33.776,-118.176,2015,Unpermitted Construction,E,1,1,1
33.775,-118.183,2015,Illegal Use,E,1,0,1
33.772,-118.188,2015,No type recorded,I,1,1,1
33.771,-118.185,2015,No type recorded,E,1,0,1
33.778,-118.195,2015,Vehicles,E,1,0,1
33.772,-118.198,2015,Unpermitted Construction,I,1,0,1
33.786,-118.198,2015,Health/Pests,E,1,0,1
33.772,-118.198,2015,No type recorded,I,1,0,1
33.778,-118.196,2015,Property Maintenance,I,1,0,4
33.778,-118.192,2015,Property Maintenance,I,1,0,1
33.777,-118.198,2015,Property Maintenance,I,1,0,1
33.774,-118.2,2015,Inspection,E,1,0,2
33.774,-118.2,2015,Inspection,I,1,0,1
33.786,-118.192,2015,Other,E,1,1,1
33.768,-118.184,2015,Property Maintenance,I,1,0,1
33.787,-118.195,2015,Property Maintenance,E,1,0,1
33.775,-118.195,2008,Other,I,1,1,1
33.774,-118.201,2015,Inspection,E,1,0,1
33.781,-118.191,2015,No type recorded,I,1,0,2
33.773,-118.201,2015,No type recorded,I,1,0,2
33.786,-118.197,2015,No type recorded,E,1,0,1
33.775,-118.188,2015,Inspection,I,1,0,1
33.768,-118.192,2015,Graffiti,E,1,0,1
33.776,-118.201,2015,Property Maintenance,I,1,0,1
33.775,-118.196,2015,Graffiti,I,1,0,1
33.785,-118.196,2015,No type recorded,I,1,1,26
33.78,-118.197,2015,Property Maintenance,I,1,0,1
33.775,-118.197,2008,Health/Pests,E,1,1,1
33.775,-118.187,2015,Inspection,I,1,0,2
33.776,-118.188,2015,Property Maintenance,I,1,1,1
33.785,-118.191,2015,Vehicles,E,1,0,1
33.783,-118.199,2015,Vehicles,I,1,1,1
